,Unnamed: 0,HomeTeam,AwayTeam,HomeScore,AwayScore,Time,Ref,HomeForm,AwayForm,HomeMissingPlayers,AwayMissingPlayers,Round,GD,HomeAtt,HomeDef,HomeMid,HomeOVR,AwayAtt,AwayDef,AwayMid,AwayOVR,y,Year,Month,Day,Round_Number
682,682,Leicester,Man United,4,2,2021-10-16 17:00:00,Craig Pawson,5,7,6,6,Premier League Round 8 2021/2022,2,82,79,81,80,85,83,84,84,1,2021,10,16,8
683,683,Man City,Burnley,2,0,2021-10-16 17:00:00,Martin Atkinson,8,5,6,6,Premier League Round 8 2021/2022,2,84,86,87,85,76,77,76,76,1,2021,10,16,8
684,684,Norwich,Brighton,0,0,2021-10-16 17:00:00,Peter Bankes,1,11,6,6,Premier League Round 8 2021/2022,0,76,74,74,74,75,75,77,76,0,2021,10,16,8
685,685,Southampton,Leeds,1,0,2021-10-16 17:00:00,David Coote,5,7,6,6,Premier League Round 8 2021/2022,1,76,73,77,76,78,76,78,77,1,2021,10,16,8
686,686,Brentford,Chelsea,0,1,2021-10-16 19:30:00,Anthony Taylor,10,9,7,6,Premier League Round 8 2021/2022,-1,73,73,74,73,84,81,86,83,-1,2021,10,16,8
687,687,Everton,West Ham,0,1,2021-10-17 16:00:00,Stuart Attwell,10,9,8,6,Premier League Round 8 2021/2022,-1,79,79,78,79,79,79,79,79,-1,2021,10,17,8
688,688,Newcastle,Tottenham,2,3,2021-10-17 18:30:00,Andre Marriner,3,9,6,9,Premier League Round 8 2021/2022,-1,79,74,75,76,86,80,80,82,-1,2021,10,17,8
689,689,Arsenal,Crystal Palace,2,2,2021-10-18 22:00:00,Mike Dean,13,6,6,6,Premier League Round 8 2021/2022,0,83,77,81,79,77,74,76,76,0,2021,10,18,8
690,690,Man United,Everton,1,1,2021-10-02 14:30:00,Michael Oliver,6,12,6,7,Premier League Round 7 2021/2022,0,85,83,84,84,79,79,78,79,0,2021,10,2,7
691,691,Burnley,Norwich,0,0,2021-10-02 17:00:00,Kevin Friend,5,0,6,6,Premier League Round 7 2021/2022,0,76,77,76,76,76,74,74,74,0,2021,10,2,7
692,692,Chelsea,Southampton,3,1,2021-10-02 17:00:00,Martin Atkinson,9,6,6,6,Premier League Round 7 2021/2022,2,84,81,86,83,76,73,77,76,1,2021,10,2,7
693,693,Leeds,Watford,1,0,2021-10-02 17:00:00,Simon Hooper,5,4,7,6,Premier League Round 7 2021/2022,1,78,76,78,77,74,73,75,75,1,2021,10,2,7
694,694,Wolves,Newcastle,2,1,2021-10-02 17:00:00,Graham Scott,6,3,7,6,Premier League Round 7 2021/2022,1,78,77,81,78,79,74,75,76,1,2021,10,2,7
